P,q
0.015730488,0.011657033
0.059209049,0.04150081
0.091050365,0.062969914
0.129682456,0.088431443
0.151450076,0.103122022
0.16659544,0.113946855
0.206263385,0.138686225
0.24486434,0.162250251
0.284028502,0.186096732
0.322706884,0.210171562
0.361181121,0.233187699
0.400068856,0.255773421
0.438612545,0.278208882
0.477188132,0.300710582
0.515856119,0.323623946
0.554309402,0.345610008
0.593153684,0.367627306
0.631717716,0.389624636
0.670329108,0.411931943
0.708948474,0.433415182
0.747220619,0.454764784
0.786061647,0.4758628
0.82468207,0.496056305
0.863441643,0.516724096
0.901946761,0.537249504
0.940568568,0.558075565
0.978958786,0.578884717
1.01336561,0.597831354
1.056337155,0.620578747
1.094881658,0.641644636
1.133514125,0.662603646
